IN METERS,Ohio Union ,Hale Hall,Orton Hall,Mendenhall Laboratory,Hagerty Hall,Page Hall,Wexner Center for the Arts,The Oval,Hopkins Hall,Bricker Hall,18th Avenue Library,Scott Laboratory,University Hall,William Oxley Thompson Memorial Library,Ohio Stadium ,Recreation and Physical Activity Center,Mirror Lake,Kuhn Honors and Scholars House,Traditions at Scott,Traditions at Morrill ,Traditions at Kennedy
Ohio Union,0,220,210,250,89,180,450,200,500,500,600,800,550,550,900,850,450,400,850,1300,450
Hale Hall,220,0,210,260,300,400,700,260,550,500,650,800,550,500,850,800,350,180,900,1300,260
Orton Hall,210,210,0,110,210,260,550,110,400,350,500,600,350,350,700,650,280,280,750,1100,450
Mendenhall Laboratory,250,260,110,0,220,180,450,10,300,270,400,550,350,400,700,650,260,350,650,1100,500
Hagerty Hall,89,300,210,220,0,95,400,110,400,400,500,700,500,600,850,850,450,450,750,1300,550
Page Hall,180,400,260,180,95,0,300,67,350,350,450,650,450,550,800,800,450,500,700,1200,600
Wexner Center for the Arts,450,700,550,450,400,300,0,270,350,500,500,700,650,800,900,1000,750,800,700,1300,900
The Oval,200,260,110,10,110,67,270,0,200,240,350,500,260,260,600,500,140,250,650,1000,450
Hopkins Hall,500,550,400,300,400,350,350,200,0,180,160,350,300,500,550,650,500,650,400,1000,800
Bricker Hall,500,500,350,270,400,350,500,240,180,0,170,350,180,350,500,550,400,500,450,900,700
18th Avenue Library,600,650,500,400,500,450,500,350,160,170,0,200,280,450,550,600,550,650,270,950,850
Scott Laboratory,800,800,600,550,700,650,700,500,350,350,200,0,300,400,500,550,600,700,350,900,1000
University Hall,550,550,350,350,500,450,650,260,300,180,280,300,0,170,350,450,300,400,550,800,700
William Oxley Thompson Memorial Library,550,500,350,400,600,550,800,260,500,350,450,400,170,0,400,270,200,400,700,750,650
Ohio Stadium,900,850,700,700,850,800,900,600,550,500,550,500,350,400,0,130,550,750,700,140,1100
Recreation and Physical Activity Center,850,800,650,650,850,800,1000,500,650,550,600,550,450,270,130,0,450,600,850,500,1000
Mirror Lake,450,350,280,260,450,450,750,140,500,400,550,600,300,200,550,450,0,180,800,900,500
Kuhn Honors and Scholars House,400,180,280,350,450,500,800,250,650,500,650,700,400,400,750,600,180,0,950,1100,350
Traditions at Scott,850,900,750,650,750,700,700,650,400,450,270,350,550,700,700,850,800,950,0,1100,1100
Traditions at Morrill,1300,1300,1100,1100,1300,1200,1300,1000,1000,900,950,900,800,750,140,500,900,1100,1100,0,1400
Traditions at Kennedy,450,260,450,500,550,600,900,450,800,700,850,1000,700,650,1100,1000,500,350,1100,1400,0
